TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
3c00ffff,ffffffff,0010e8d0,024c8138,00382101,11171440,00c1c008,00184871,00e3c403,00140221,2096a22a,14404080,82943922
4400ffff,ffffffff,06309061,c4830640,30e84094,81943844,0122000a,01042840,02e14382,2a2410f0,a2cb0f14,18b3d1cf,85074122
4c00ffff,ffffffff,4c581822,614ea30c,20d004a6,820e0808,28016104,10100608,21004288,6c386802,2780860e,1009c08a,05974922
5400ffff,ffffffff,263800c1,e1452116,18687468,81ad1204,02308247,87440468,20044686,06148134,01c10e04,18786306,94825122
5c00ffff,ffffffff,2008e850,e2c89540,98b020e0,048c1800,1800c600,86102199,43a0cd9d,02010290,e0428204,3048f264,01035922
6400ffff,ffffffff,1aa43080,4087800e,043251f0,05870234,6010c94c,255a0439,d4824806,0a086890,e287870c,2d6001a1,43136122
6c00ffff,ffffffff,0800a840,644a010e,741805a0,0704106d,2154a580,030438b1,41400102,0c5478e2,87869424,30985060,c1906922
7400ffff,ffffffff,1834f830,09451006,e01000c3,89250c3c,29012600,83569858,7169030b,0c904001,c3500e0c,009805c1,c79f7122
7c00ffff,ffffffff,0a088002,6c44081a,28200101,0c1d1630,48a3a153,8a1c8c70,50038021,2c30b9d3,e0c50002,742922e6,4e117922
0400ffff,ffffffff,0221a000,88000c22,11396081,c40a2a38,50c00449,01283c88,12cd4003,041c1121,81070c20,5088f101,40080122
0c00ffff,ffffffff,08380080,e483830c,31d17081,47141a20,a06427c2,03140928,00634309,1c2c5011,e346800a,3c447041,d1390922
1400ffff,ffffffff,08181915,a9d40704,e0005240,450c0844,58852181,021a0c08,2420000c,003c4150,434f0904,1068a083,4d181122
1c00ffff,ffffffff,0e042805,81df1702,483010e2,0a991c1c,f0f44081,94082800,11444101,0c401a02,42061004,08185044,0e8d1922
2400ffff,ffffffff,0c0ca893,23048522,80688043,41943e00,61d20202,85281c30,a04ddc02,1205b010,20840f0b,1ca88065,c30d2122
2c00ffff,ffffffff,0c241350,60129516,60a21247,83830414,b8006303,480a4000,5205cf08,361018d3,e101181c,1c107188,01132922
3400ffff,ffffffff,42187021,c9468920,09da9048,c7860a1c,08506b01,0f1ab9ab,a1a606a3,601c5824,02180715,3068c383,01083122
3c00ffff,ffffffff,062c58c0,a2840c6e,08617382,c4142414,700205c3,886e0830,2123801c,8a303041,e5461614,001831e1,8b8e3922
4400ffff,ffffffff,1adce860,c0c50610,20892660,87033c58,20b34144,0d502c10,d0c1990d,0a502070,81848108,0c416083,48134122
4c00ffff,ffffffff,08045002,47813000,05591001,e7091668,10380380,0a006859,10e08009,00102883,e3000316,541cb0a0,11854922
5400ffff,ffffffff,5664c850,60028052,7d2163a5,8b261620,20230d81,88060093,91e25186,1e0988c0,c1003922,0039c024,5eb25122
5c00ffff,ffffffff,0c401850,4a828c1a,14185522,87090610,30508088,003a2c10,32838692,0c3c4070,80800716,08084421,86855922
6400ffff,ffffffff,0e281050,68079908,6cb010a0,c39f382c,1992e382,1a0a9838,904e0391,103031c0,0110001c,99d25020,92166122
6c00ffff,ffffffff,0c6c8991,450a1a22,28c801cc,80072c50,5051c38b,08100810,20614302,302468d0,c1c22500,1c0030ce,d38a6922
7400ffff,ffffffff,3c1dc093,20032e02,34403260,41870010,083022c4,88080498,50c3c487,101050b0,e5000616,21782081,83847122
7c00ffff,ffffffff,34041800,a1c11c1a,10022065,80062cb9,602020ce,9d3c0058,00414197,0e0c1891,82c41a54,046825a7,c2127922
0400ffff,ffffffff,003c2010,21498c20,1c006060,161a1860,3051e042,a0080441,10624508,2a0812a2,a44c0a10,185080a2,c88d0122
0c00ffff,ffffffff,1488b180,40071502,5408f0e3,c0a41e45,78900108,83282012,10814141,02841052,e603821a,24900120,87800922
3400ffff,ffffffff,466038d1,c041064a,002b4180,ca923060,00f36159,873a0860,0183840e,34019382,424c911c,08082205,050b3122
3c00ffff,ffffffff,48503810,a1420024,0c087060,0c00062c,68420749,ad104028,00618885,2a083983,68080f24,20b90042,40033922
4400ffff,ffffffff,049c08c0,27870002,0819e202,49190a18,1000a0c9,02323c20,b0c1038e,00157020,c100120e,30d0f025,a6044122
4c00ffff,ffffffff,2e041892,60418302,0c3913c1,d08b5c14,d852820b,b1003c28,74248807,0e0c0093,e1820768,2860e120,0d074922
5400ffff,ffffffff,2c3c3813,20c18714,51c00200,4a891034,60602483,820ab570,64454408,08209813,00270200,e400b00a,00aa5122
5c00ffff,ffffffff,205c4001,4316880e,3488b3c5,c51a2238,61b0704c,0d021808,21088004,0e407131,42428a08,90b08100,02835922
6400ffff,ffffffff,680878e0,2544873e,fc382041,4d0f6e28,00a12348,2c3c6c30,a0c1080c,0a1010b1,2009040c,6418c280,402d6122
6c00ffff,ffffffff,0c000808,a0022b06,e0184005,94021898,69a2cdc0,0c426860,16405106,302c8862,84c30306,38405025,24166922
7400ffff,ffffffff,1c859860,630b1a16,2ca82185,864b0e69,98820048,1008ac81,63c04544,0c70e8f3,02caa812,440191c8,0f8d7122
7c00ffff,ffffffff,280479c0,c143842c,0c0a2141,00022638,18b06282,20544c28,00a1e084,0648c870,c303830a,34a11121,44197922
0400ffff,ffffffff,0e2d5090,43010c00,10f09102,4783061c,39e28057,03240859,71064510,18005801,2b07a138,1c28a4e7,47890122
0c00ffff,ffffffff,0a588b81,21041130,d0c0b064,c7811c00,5970248c,13162532,610d80a6,590c0803,0040824a,144960a1,42010922
1400ffff,ffffffff,361001a0,45642526,50203080,c1962400,11d00182,8100c8b0,11609904,16251840,8142ab00,00183302,02001122
1c00ffff,ffffffff,0058f023,b101842e,001a9022,57044004,98e2c540,1d1a30e8,d0864503,0888a0e1,40420208,9029422e,8a841922
2400ffff,ffffffff,0a0438b7,02800016,25f890e4,809b0c68,f1f38003,05141450,10a4468f,06281060,0145aa42,78309241,08152122
2c00ffff,ffffffff,14015040,2143840e,4c407006,444e0c0d,88c12440,000c0450,13000113,1e945912,20c60008,1c11104e,0b932922
3400ffff,ffffffff,481838d2,a10f8636,00718263,8386040c,28106001,050e1920,a0469481,08046862,c307113a,29682064,16873122
3c00ffff,ffffffff,322c9020,2240820e,68290125,4102143c,28d0e1c7,014a1078,e2618208,02106631,e304910a,24983043,85953922
4400ffff,ffffffff,10104150,21420010,0888d040,c00a4604,18154348,a33004e0,00e30318,26882020,43020910,00a8b302,43084122
4c00ffff,ffffffff,004cb8b0,01cc0208,2c00502d,07260430,e062c081,895a583a,70800819,34606840,e38f0412,642016af,03104922
5400ffff,ffffffff,1e281021,01488e0c,14e8910a,04830a90,12110203,881e3060,5293c40c,0a000860,6003851e,04109200,4db45122
5c00ffff,ffffffff,702030c2,a0cb0604,34001404,44053004,2010e383,8014a940,7127039a,78008183,a3d28008,08491142,401a5922
6400ffff,ffffffff,12ecf021,a1ce0666,184800a8,4a000c01,3881a183,8d000851,41c08583,044cd176,01c2a90c,1cc9a663,cd296122
6c00ffff,ffffffff,26001090,c1838418,147a5281,03075414,38404440,a2061890,730e4e87,443ca858,22870504,c0d003e0,4a026922
7400ffff,ffffffff,042c3973,e30e821c,04707120,c503161c,1825c200,916a5020,6024cc8b,122c0090,0505920a,3810c220,45047122
7c00ffff,ffffffff,140080e1,2385905e,3890408a,e0042881,00f340a6,8b446478,10420126,0c0c9160,a4878326,1850b2a0,42167922
0400ffff,ffffffff,00043892,c3009912,24007561,08181410,0011a198,85983440,77214910,0284e050,e0951050,14083120,0a0b0122
0c00ffff,ffffffff,724c4990,014b8c06,241142c1,c5040164,5011a1c6,8e0800b3,01b4418f,540c60d2,e4c10432,20907024,c1860922
1400ffff,ffffffff,06a45841,2107c30c,0000c360,048b2408,61b08341,096a34d8,30a3168a,0e214102,41d51404,30482243,40181122
1c00ffff,ffffffff,485079b5,e7468338,14f83007,d7361e50,b0f5c0d1,0c04088c,3140ca03,002c33c0,65040008,54e07124,4b121922
2400ffff,ffffffff,120860f0,2187870a,28086846,40070ad8,9091e587,931a4459,02c7c305,04b008b0,02418a14,08f07524,04172122
2c00ffff,ffffffff,1460d260,c10b0518,187ac2e0,4284144c,10e18782,85085440,31cf5001,3619d0a4,6589301a,1c409281,c3822922
3400ffff,ffffffff,080008f0,80041c02,6070d0a2,18011264,5022c0c2,051a9801,a1038022,0a90f03b,03c20202,2029a201,908b3122
3c00ffff,ffffffff,44041132,60088a00,31421647,8d860838,190144a0,10001031,d0804201,0c3009b1,e01f877e,44089025,c3073922
4400ffff,ffffffff,120c7824,65408d14,7c591105,580c2650,a352430c,01161860,30a4801e,081000c4,0143801c,24532285,02974122
4c00ffff,ffffffff,045d7011,e085382e,39d80243,4d9f4cd0,01c00b45,0a28024a,01e1cb20,2a202151,a04c081c,5010d3e2,46244922
