TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
5c00ffff,ffffffff,1804d950,e084037a,5c281183,400c2200,18e283c2,044c4408,20e74a88,10810150,6c0a9a94,80d8d140,ca015922
6400ffff,ffffffff,22485961,24cf9904,e01a0125,c393183c,b8216005,94461059,51e4439f,00384080,23801302,0c1fc344,421d6122
6c00ffff,ffffffff,1a001900,e0810c32,04697140,c9948b81,68a0e0da,022e9038,31044008,223c9051,c8018024,74223081,04a06922
7400ffff,ffffffff,0a886040,87050338,006150a7,80810a08,18114204,a2145449,05a08f0d,143c2040,a006b21c,59695063,43907122
7c00ffff,ffffffff,08142092,610fa628,407990cb,87811404,30034004,041494b9,00678685,000838d1,60039322,209ba068,08077922
0400ffff,ffffffff,2050c871,60c5042c,e0081080,800a1c3c,d802a1c0,20022058,a3200083,0608c891,46c1051c,749830c3,4c010122
0c00ffff,ffffffff,04354801,a8530312,3490c540,89052e98,18b12002,893604ba,a00c838f,062409a5,8003896a,04073180,05b30922
1400ffff,ffffffff,0e3058d1,c04ea648,29228440,01800000,08b24641,933a4c09,4543ca16,00246061,420c012a,1ca01081,48821122
1c00ffff,ffffffff,1a2ef920,2201b12e,8448d066,091b0204,78a423cb,25127198,c1ca2618,145439a2,86420508,4038e004,0d891922
2400ffff,ffffffff,b6280060,6110034c,98698404,04112408,b9020288,03021410,72e144c1,360cb181,a2c01804,0030a0a1,959d2122
2c00ffff,ffffffff,023c9835,0544c40a,3490928b,0b061e05,b134e404,04160889,3261809c,02440840,e5838000,20b0502a,44942922
3400ffff,ffffffff,20142950,460c0e16,151132c3,80841000,42b486cc,49104809,24428402,66182021,9441062e,1c1036c0,c3223122
3c00ffff,ffffffff,300088b0,40818f04,0c08b1f0,04a90404,88a28084,05100c02,64200907,3c0820d4,22d10904,5ca030e1,4b913922
4400ffff,ffffffff,48041870,a0c30126,48e0b18f,81170e88,bad06d01,8118d410,57ee8808,7e3c30c0,a4849218,386830e4,04094122
4c00ffff,ffffffff,244208e1,41110208,105951a1,c80d04a0,b9352649,890c0088,20e3050f,0a3c50d1,44c18e3e,303023e4,8f894922
5400ffff,ffffffff,14105021,86c2830c,2e10a022,1a091635,08116743,2a060838,3841c19c,0c002820,03408404,ec581685,9b045122
5c00ffff,ffffffff,1e102071,a2461c40,145181e2,0788780c,30106b03,09144128,2020cf1f,04301832,84841610,704930c1,838a5922
6400ffff,ffffffff,05acd222,c1411408,21611073,c0820212,0830a0d8,84040838,10278901,0a00c026,22470108,1128f160,84126122
6c00ffff,ffffffff,4838f020,01c51006,2d18b5a5,c0851408,13916b05,8a045d28,2060c310,0c0d4310,02d3a404,26407607,00b56922
