TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
1400ffff,ffffffff,2c0400b1,0b93830c,1c40e121,c8071818,287282cf,03583420,00820480,1a6820b2,210c8d3c,089a1062,81031122
1c00ffff,ffffffff,02764851,c5c00412,283830e4,008a089c,18032e03,85069c18,a140908f,14088861,a34f9528,04089081,01881922
2400ffff,ffffffff,08093191,6187811a,00794120,c10c0220,201161c1,8d106038,b5224482,367839c1,08961300,343893ae,45052122
2c00ffff,ffffffff,1ef028d4,a54b2312,441122c5,001d1880,58e24013,01ce5028,1025841d,160420c1,01412102,0c30a300,00822922
3400ffff,ffffffff,24000094,e0c60d02,10103640,c3012a38,2150e281,a0042441,c0a68202,40189150,a4c6811a,24782220,80813122
3c00ffff,ffffffff,1c2c18d1,46460e52,18410120,09870c04,100045c9,0d163018,c2050290,221c2060,c5858622,6c208181,a0893922
4400ffff,ffffffff,2e200027,47c40008,ac80c140,040c0e2c,60b0ad03,8d04181b,b0009a80,0c508160,e5c9900c,38e80980,03254122
4c00ffff,ffffffff,24244914,21cf0c16,3cc09037,93040225,28606100,21081409,22a0830e,9830a163,e1d18c00,04016020,04944922
5400ffff,ffffffff,3e2cb870,23808308,00000120,400a064d,90b14485,050804c9,71c2428a,62200057,02c8812c,b0384145,00975122
5c00ffff,ffffffff,1c489130,428d0a3e,d8305381,dc9e1404,79704184,021c2020,0049428c,125428b0,e2c1860a,04001080,12855922
6400ffff,ffffffff,0c0854f8,a0408814,14b100a2,80811a04,31c04780,86462c02,1060810f,00289240,a2888e20,041870a0,4c276122
6c00ffff,ffffffff,1414da20,20810a1c,008a6003,4b08382c,08e06140,a2040c50,73a64483,0208b900,220e0e06,14585140,560b6922
7400ffff,ffffffff,06145860,63020218,488030a4,451d1038,01506340,13166860,22a04794,04285800,63000002,2c602423,178d7122
7c00ffff,ffffffff,10040961,e202b200,393b36c5,8f360028,c843af81,ce042929,e1c0838d,241d3170,208d0210,046a3344,8b9c7922
0400ffff,ffffffff,2e7cd810,43c48e04,fc4090e3,88063e30,a9112384,26040028,00114401,2228a023,e1c00c12,3579b0c0,8b800122
